Entity,Entity Type,Count,Example Sentence,First Level,Second Level,Third Level,Mapped Entity,Similarity
5.2 mm in thickness,descriptor,1,"interval partial inclusion of the maxillary sinuses with bilateral maxillary sinus mucosal thickening demonstrated , measuring 5 . 5 mm in thickness on the left and 5 . 2 mm in thickness on the right .",size,numeric,numeric,,
14 x 7 x 13 mm,descriptor,1,"there is a hyperattenuating mass along the plain image sphenoidale measuring 14 x 7 x 13 mm , consistent with a meningioma .",size,numeric,numeric,,
maximum width of 1 cm,descriptor,1,"there is a widened extra-axial space over the left frontoparietal lobe , maximum width of 1 cm , of csf attenuation .",size,numeric,numeric,,
1.0 and 1.5 cm,descriptor,1,at least 3 such lesions which measure between 1 . 0 and 1 . 5 cm in diameter are demonstrated on the right .,size,numeric,numeric,,
approximately 8 mm diameter,descriptor,1,on the left there is an approximately 8 mm diameter ring-enhancing lesion associated with the area of edema .,size,numeric,numeric,,
approximately 3 to 4 mm diameter,descriptor,1,a tiny hypodensity in the anterior aspect of the caudate nucleus on the right is stable and may reflect an approximately 3 to 4 mm diameter old lacunar infarction .,size,numeric,numeric,,
18 mm slightly smaller,descriptor,1,high-density hemorrhage in the midbrain measuring 18 mm slightly smaller .,size,numeric,numeric,,
3.1 x 4.3 cm,descriptor,1,there is a 3 . 1 x 4 . 3 cm infrarenal abdominal aortic aneurysm .,size,numeric,numeric,,
22 x 9 mm,descriptor,1,"small extra-axial mass with increased attenuation at the right frontal region 22 x 9 mm likely a partially calcified meningioma , not significantly changed from prior study .",size,numeric,numeric,,
12.2 x 18.1 mm,descriptor,1,"left preseptal hematoma measures 12 . 2 x 18 . 1 mm , image #1 .",size,numeric,numeric,,
14.2 x 20.4 mm,descriptor,1,this is compared with 14 . 2 x 20 . 4 mm previously .,size,numeric,numeric,,
0.8 x 1.3 cm,descriptor,1,"there is a 0 . 8 x 1 . 3 cm calcified extra-axial mass within the left anterior parietal region , adjacent to the inner table of the skull , best seen on images 23 and 55 .",size,numeric,numeric,,
8 muby9 mm,descriptor,1,diameter estimated 8 muby9 mm .,size,numeric,numeric,,
26 x 25 mm,descriptor,1,"the intra-axial right parietal lobe hematoma is largely obscured on series 21 , image 14 , but grossly stable in size estimated at 26 x 25 mm ap by transverse ( versus 32 x 24 mm on 03 / 03 / 2001 ) .",size,numeric,numeric,,
6.0 x 4.3 cm,descriptor,1,this measures 6 . 0 x 4 . 3 cm .,size,numeric,numeric,,
6 x 5 x 5 cm,descriptor,1,"brain : 6 x 5 x 5 cm hematoma in the posterior right frontal lobe has significantly increased since prior head ct , mildly increased from previous brain mri , especially along the medial margin .",size,numeric,numeric,,
31 x 16 mm,descriptor,1,brain : hematoma in the left anterior frontal lobe shows interval enlargement now measuring 31 x 16 mm .,size,numeric,numeric,,
38 x 21 x 33 mm,descriptor,1,hemorrhage encompasses 38 x 21 x 33 mm ( ap by transverse by cc ) foreign for an estimated blood volume of 13 ml .,size,numeric,numeric,,
3.2 x 5.4 cm,descriptor,1,this contusion measures approximately 3 . 2 x 5 . 4 cm .,size,numeric,numeric,,
9.38 x 4.34 cm,descriptor,1,maximal ap by transverse dimensions are 9 . 38 x 4 . 34 cm .,size,numeric,numeric,,
37 x 27 mm,descriptor,1,"there is thampi demonstration of a hyperdense acute left parietal cortical and subcortical hemorrhage measuring 37 x 27 mm , unchanged .",size,numeric,numeric,,
4.1 x 3.7 cm,descriptor,1,right frontal lobe parenchymal hemorrhage is stable at 4 . 1 x 3 . 7 cm .,size,numeric,numeric,,
3 mm meters,descriptor,1,"regional mass effect and 3 mm meters left-to-right midline shift , slightly worse .",size,numeric,numeric,,
2 months later,descriptor,1,a small hemorrhage in this location would likely not be visible 2 months later .,size,numeric,numeric,,
3.48 cm,descriptor,1,low-attenuation is seen in the posterior fossa which was not present previously consistent with a moderately large left cerebellar infarct measuring approximately 3 . 48 cm anterior-posterior and 3 . 63 cm medial to lateral on image 9 .,size,numeric,numeric,,
anterior-posterior and 3.63 cm,descriptor,1,low-attenuation is seen in the posterior fossa which was not present previously consistent with a moderately large left cerebellar infarct measuring approximately 3 . 48 cm anterior-posterior and 3 . 63 cm medial to lateral on image 9 .,size,numeric,numeric,,
3.63 cm,descriptor,1,low-attenuation is seen in the posterior fossa which was not present previously consistent with a moderately large left cerebellar infarct measuring approximately 3 . 48 cm anterior-posterior and 3 . 63 cm medial to lateral on image 9 .,size,numeric,numeric,,
3.63 cm medial to lateral,descriptor,1,low-attenuation is seen in the posterior fossa which was not present previously consistent with a moderately large left cerebellar infarct measuring approximately 3 . 48 cm anterior-posterior and 3 . 63 cm medial to lateral on image 9 .,size,numeric,numeric,,
1.38 cm,descriptor,1,there is an area of low-attenuation in the lateral left temporal region on image 12 measuring 1 . 38 cm anterior-posterior and 1 . 13 cm medial to lateral .,size,numeric,numeric,,
anterior-posterior and 1.13 cm,descriptor,1,there is an area of low-attenuation in the lateral left temporal region on image 12 measuring 1 . 38 cm anterior-posterior and 1 . 13 cm medial to lateral .,size,numeric,numeric,,
1.13 cm,descriptor,1,there is an area of low-attenuation in the lateral left temporal region on image 12 measuring 1 . 38 cm anterior-posterior and 1 . 13 cm medial to lateral .,size,numeric,numeric,,
approximately 25 x 35 mm,descriptor,1,the lesion appears expansile and measures approximately 25 x 35 mm .,size,numeric,numeric,,
3.2 x 4.1 cm,descriptor,1,"interval increase in size of left frontal intraparenchymal hematoma extending to the cortex , previously 3 . 2 x 4 . 1 cm , now 5 . 1 x 4 . 5 cm with increasing left-to-right midline shift , now 10 mm with left lateral ventricle effacement , no definite entrapment .",size,numeric,numeric,,
5.1 x 4.5 cm,descriptor,1,"interval increase in size of left frontal intraparenchymal hematoma extending to the cortex , previously 3 . 2 x 4 . 1 cm , now 5 . 1 x 4 . 5 cm with increasing left-to-right midline shift , now 10 mm with left lateral ventricle effacement , no definite entrapment .",size,numeric,numeric,,
44 / 45 mm,descriptor,1,the biventricular diameter has increased in comparison with most recent prior examination . 48 mm right to left biventricular diameter is seen on images 14 and 15 as compared with 44 / 45 mm previously .,size,numeric,numeric,,
2.0 x 2.8 cm,descriptor,1,"2 . 0 x 2 . 8 cm parenchymal hemorrhage in the left frontal lobe ( series 4 / image 24 ) , with surrounding vasogenic edema .",size,numeric,numeric,,
3.8 cm anterior to posterior,descriptor,1,the area of low-attenuation measures is much as 3 . 8 cm anterior to posterior and approximately 2 . 3 cm medial to lateral on image #11 area otherwise there is diffuse atrophy .,size,numeric,numeric,,
approximately 10 mm in depth,descriptor,1,the left subdural hematoma extending over the left convexity is not changed in dimension from prior measuring approximately 10 mm in depth .,size,numeric,numeric,,
21 x 24 mm,descriptor,1,"other : incompletely visualized , but apparently unchanged in size is a 21 x 24 mm cross-section left parotid tumor , similar that noted on prior mr 10 / 5 / 2019 .",size,numeric,numeric,,
21 x 24 mm cross-section,descriptor,1,"other : incompletely visualized , but apparently unchanged in size is a 21 x 24 mm cross-section left parotid tumor , similar that noted on prior mr 10 / 5 / 2019 .",size,numeric,numeric,,
3.9 x 3.8 cm,descriptor,1,the lesion measures about 3 . 9 x 3 . 8 cm .,size,numeric,numeric,,
left-to-right midline shift of 3 mm,descriptor,1,mild mass effect with left-to-right midline shift of 3 mm .,size,numeric,numeric,,
previously 3.3 cm,descriptor,1,"slight decrease in size , measuring 2 . 9 cm in maximal transverse diameter , previously 3 . 3 cm .",size,numeric,numeric,,
3.2 x 2.1 cm,descriptor,1,a lobulated component of the mass in the left frontal cortex measures 3 . 2 x 2 . 1 cm .,size,numeric,numeric,,
previously 4.9 mm,descriptor,1,stable to decreased mild rightward midline shift now measuring 3 . 3 mm ( previously 4 . 9 mm ) .,size,numeric,numeric,,
7.8 x 4.9 cm,descriptor,1,there is a large arachnoid cyst in the posterior fossa on the left measuring 7 . 8 x 4 . 9 cm .,size,numeric,numeric,,
3.8 x 3.3 cm,descriptor,1,anterior medial right frontal lobe 3 . 8 x 3 . 3 cm mass .,size,numeric,numeric,,
9 x 14 mm diameter,descriptor,1,9 x 14 mm diameter focus of acute intracranial hemorrhage again demonstrated in the left posterior parietal convexity with surrounding edema .,size,numeric,numeric,,
measuring up to 6 mm in diameter,descriptor,1,there is a suspected smaller contralateral subdural hematoma measuring up to 6 mm in diameter .,size,numeric,numeric,,
8-0.3 x 3.5 cm,descriptor,1,hemorrhage into the right lentiform nucleus with a 8-0 . 3 x 3 . 5 cm hematoma noted .,size,numeric,numeric,,
previously seen 7 mm,descriptor,1,previously seen 7 mm node in the anterior midline just anterior to the hyoid bone is no longer present .,size,numeric,numeric,,
4.6 x 4.0 cm,descriptor,1,brain : there is a new large low-density mass at the right cerebellar pontine angle which measures up to 4 . 6 x 4 . 0 cm on image [date] .,size,numeric,numeric,,
1.4 x 0.7 cm,descriptor,1,"previously identified left frontal lobe intraparenchymal hemorrhage is stable in size 1 . 4 x 0 . 7 cm , previously 1 . 3 x 0 . 7 cm .",size,numeric,numeric,,
1.3 x 0.7 cm,descriptor,1,"previously identified left frontal lobe intraparenchymal hemorrhage is stable in size 1 . 4 x 0 . 7 cm , previously 1 . 3 x 0 . 7 cm .",size,numeric,numeric,,
approximating 10 mm,descriptor,1,"residual acute superimposed upon chronic left hemispheric subdural hematoma , maximum thickness approximating 10 mm .",size,numeric,numeric,,
approximating 5 mm,descriptor,1,"residual mass effect with shift of the midline to the right approximating 5 mm , improved .",size,numeric,numeric,,
3.5 x 2.0 cm,descriptor,1,3 . 5 x 2 . 0 cm parenchymal hemorrhage in the right basal ganglia ( series 2 / image 12 ) .,size,numeric,numeric,,
4.9 x 4.1 cm,descriptor,1,"multiple contusions / hematomas in both cerebral hemispheres , the largest in the right posterior temporoparietal region measuring approximately 4 . 9 x 4 . 1 cm ( image 17 ) .",size,numeric,numeric,,
1.4 x 0.5 cm,descriptor,1,"acute hemorrhage is also present in the left frontal lobe with the hematoma measuring approximately 3 . 8 x 2 . 7 cm; the right frontal lobe where the hematoma measures approximately 1 . 5 x 1 . 7 cm , and in the midportion of the corpus callosum where the hematoma measures approximately 1 . 4 x 0 . 5 cm .",size,numeric,numeric,,
approximately 5 mm in thickness,descriptor,1,a very small left frontal subdural hematoma is present measuring approximately 5 mm in thickness .,size,numeric,numeric,,
15.0 mm,descriptor,1,the mid portion of the third ventricle currently measures 15 . 0 mm in transverse diameter and previously measured 13 . 8 mm in transverse diameter .,size,numeric,numeric,,
previously measured 13.8 mm,descriptor,1,the mid portion of the third ventricle currently measures 15 . 0 mm in transverse diameter and previously measured 13 . 8 mm in transverse diameter .,size,numeric,numeric,,
only 4 mm thick,descriptor,1,"acute interhemispheric subdural , relatively minor , leftward posterior frontal location , only 4 mm thick .",size,numeric,numeric,,
28 x 22 x 27 mm,descriptor,1,"there are two masses related to the left parotid gland : within , or adjacent to , the superficial lobe superiorly , there is a necrotic 28 x 22 x 27 mm mass , indistinct peripheral margins , no osseous invasion , but a tongue of tumor extends behind the left mandibular condyle .",size,numeric,numeric,,
8 x 13 x 15 mm,descriptor,1,this measures 8 x 13 x 15 mm and could be a warthin's tumor .,size,numeric,numeric,,
26 x 31 mm,descriptor,1,"left paratracheal substernal mass , 26 x 31 mm cross-section on image 34 , thyroid related .",size,numeric,numeric,,
26 x 31 mm cross-section,descriptor,1,"left paratracheal substernal mass , 26 x 31 mm cross-section on image 34 , thyroid related .",size,numeric,numeric,,
1.8 x 2.3 cm,descriptor,1,contusion immediately subjacent to the left frontal bone today measures 1 . 5 x 2 . 4 cm compared to 1 . 8 x 2 . 3 cm .,size,numeric,numeric,,
1.6 x 2.7 cm,descriptor,1,slightly more posterior hematoma measures 1 . 6 x 2 . 7 cm compared to 1 . 9 x 2 . 8 cm .,size,numeric,numeric,,
1.9 x 2.8 cm,descriptor,1,slightly more posterior hematoma measures 1 . 6 x 2 . 7 cm compared to 1 . 9 x 2 . 8 cm .,size,numeric,numeric,,
19.5 mm,descriptor,1,"in the left medial inferior cerebellum , there is a 19 . 5 mm area of low attenuation with some mass effect on the adjacent fourth ventricle .",size,numeric,numeric,,
40 x 27 mm,descriptor,1,confluent right temporal lobe hemorrhagic contusion with hyperdense blood products now measuring 40 x 27 mm ( previously 36 x 27 mm ) .,size,numeric,numeric,,
previously 36 x 27 mm,descriptor,1,confluent right temporal lobe hemorrhagic contusion with hyperdense blood products now measuring 40 x 27 mm ( previously 36 x 27 mm ) .,size,numeric,numeric,,
volume = 150 cm^3,descriptor,1,"brain : acute hemorrhage within the left posterior cerebral hemisphere is markedly increased in size measuring 10 . 1 x 4 . 6 x 6 . 3 cm ( volume = 150 cm^3 ) ( ap x ml x cc series 5 , image 40 and series 6 , image 33 ) .",size,numeric,numeric,,
2.0 x 2.2 cm,descriptor,1,"right temporal parietal surgical cavity appears stable , measuring approximately 2 . 0 x 2 . 2 cm on image 17 .",size,numeric,numeric,,
2.8 x 4.0 cm,descriptor,1,"the hematoma measures 2 . 8 x 4 . 0 cm , unchanged in size and configuration since the exam yesterday .",size,numeric,numeric,,
15 by 7 mm,descriptor,1,"these measure 18 mm , 13 mm , and 15 by 7 mm .",size,numeric,numeric,,
2.8 by 1.5 cm,descriptor,1,clot at the level of the left basal ganglia measures up to 2 . 8 by 1 . 5 cm on coronal reformats .,size,numeric,numeric,,
7 x 4 mm,descriptor,1,this measures 10 x 7 mm ( previously 7 x 4 mm on comparison mri ) .,size,numeric,numeric,,
19 x 15 x 20 mm,descriptor,1,brain : hyperdense acute hemorrhage centered in the lateral right thalamus is 19 x 15 x 20 mm ( ap by transverse by cc ) for an estimated intra-axial blood volume of 3 ml .,size,numeric,numeric,,
1.28 cm,descriptor,1,this area measures 1 . 28 cm in maximal diameter and has the appearance of a focus of intraparenchymal hemorrhage .,size,numeric,numeric,,
